question_id,split,question,answer,image,local_image,image_id,data_source,issimple
19282275,train,How many people are there?,2,val2014/COCO_val2014_000000378538.jpg,images/COCO_val2014_000000378538.jpg,378538,tdiuc_templates,
10040673,train,How many people can be seen?,2,train2014/COCO_train2014_000000139042.jpg,images/COCO_train2014_000000139042.jpg,139042,tdiuc_templates,
30100774,train,How many people are there?,5,VG_100K_2/2407796.jpg,images/2407796.jpg,92407796,imported_genome,
10310634,train,How many giraffes are in the photo?,3,train2014/COCO_train2014_000000468771.jpg,images/COCO_train2014_000000468771.jpg,468771,tdiuc_templates,
20011392,train,How many sheep are in the photo?,2,train2014/COCO_train2014_000000163332.jpg,images/COCO_train2014_000000163332.jpg,163332,imported_vqa,
9238619813753,test,How many green plants are near the window?,1,VG_100K_2/2386198.jpg,images/2386198.jpg,92386198,amt,False
10069701,train,How many benches are there?,1,train2014/COCO_train2014_000000144620.jpg,images/COCO_train2014_000000144620.jpg,144620,tdiuc_templates,
10239352,train,How many dining tables are there?,1,train2014/COCO_train2014_000000177193.jpg,images/COCO_train2014_000000177193.jpg,177193,tdiuc_templates,
10586085,train,How many people can be seen?,4,train2014/COCO_train2014_000000249947.jpg,images/COCO_train2014_000000249947.jpg,249947,tdiuc_templates,
30116871,train,How many benches are there?,2,VG_100K_2/2388689.jpg,images/2388689.jpg,92388689,imported_genome,
10297484,train,How many oranges are there?,3,train2014/COCO_train2014_000000070213.jpg,images/COCO_train2014_000000070213.jpg,70213,tdiuc_templates,
10423283,train,How many people are visible?,8,train2014/COCO_train2014_000000083972.jpg,images/COCO_train2014_000000083972.jpg,83972,tdiuc_templates,
20006958,train,How many players are on the field?,4,train2014/COCO_train2014_000000521382.jpg,images/COCO_train2014_000000521382.jpg,521382,imported_vqa,
30123285,train,How many people are in the scene?,1,VG_100K_2/2378651.jpg,images/2378651.jpg,92378651,imported_genome,
19227731,train,How many people are there?,3,val2014/COCO_val2014_000000353982.jpg,images/COCO_val2014_000000353982.jpg,353982,tdiuc_templates,
20034348,train,How many books are there on the table?,3,train2014/COCO_train2014_000000503479.jpg,images/COCO_train2014_000000503479.jpg,503479,imported_vqa,
30109052,train,How many people are there?,1,VG_100K_2/2400826.jpg,images/2400826.jpg,92400826,imported_genome,
10250318,train,How many umbrellas are there?,3,train2014/COCO_train2014_000000441480.jpg,images/COCO_train2014_000000441480.jpg,441480,tdiuc_templates,
30166219,train,How many women?,2,VG_100K_2/2416417.jpg,images/2416417.jpg,92416417,imported_genome,
19273910,train,How many people can you see?,4,val2014/COCO_val2014_000000243737.jpg,images/COCO_val2014_000000243737.jpg,243737,tdiuc_templates,
19067484,train,How many people can you see?,5,val2014/COCO_val2014_000000550051.jpg,images/COCO_val2014_000000550051.jpg,550051,tdiuc_templates,
30109416,train,How many glasses are on the table?,2,VG_100K_2/2400247.jpg,images/2400247.jpg,92400247,imported_genome,
19178277,train,How many kites can you see?,3,val2014/COCO_val2014_000000552237.jpg,images/COCO_val2014_000000552237.jpg,552237,tdiuc_templates,
19196476,train,How many handbags are there?,1,val2014/COCO_val2014_000000384335.jpg,images/COCO_val2014_000000384335.jpg,384335,tdiuc_templates,
90975399,train,How many pizza slices are missing from the tray?,0,train2014/COCO_train2014_000000402042.jpg,images/COCO_train2014_000000402042.jpg,402042,generate,
20008333,train,How many kites can you see?,1,train2014/COCO_train2014_000000387750.jpg,images/COCO_train2014_000000387750.jpg,387750,imported_vqa,
10289183,train,How many microwaves are in the photo?,1,train2014/COCO_train2014_000000424337.jpg,images/COCO_train2014_000000424337.jpg,424337,tdiuc_templates,
20055690,train,How many zebras in the picture?,0,train2014/COCO_train2014_000000203729.jpg,images/COCO_train2014_000000203729.jpg,203729,imported_vqa,
19261942,train,How many carrots are in the photo?,7,val2014/COCO_val2014_000000107108.jpg,images/COCO_val2014_000000107108.jpg,107108,tdiuc_templates,
90633942,train,How many cars are there?,0,val2014/COCO_val2014_000000306154.jpg,images/COCO_val2014_000000306154.jpg,306154,generate,
30099630,train,How many goats are not eating grass?,1,VG_100K_2/2408385.jpg,images/2408385.jpg,92408385,imported_genome,
20020663,train,How many people are shown?,2,train2014/COCO_train2014_000000507542.jpg,images/COCO_train2014_000000507542.jpg,507542,imported_vqa,
30096977,train,How many glasses of beer is the man in the background holding?,2,VG_100K_2/2409772.jpg,images/2409772.jpg,92409772,imported_genome,
30105116,test,How many people are on the beach?,3,VG_100K_2/2405580.jpg,images/2405580.jpg,92405580,imported_genome,True
30165254,train,How many towels are on the rack?,3,VG_100K_2/2411830.jpg,images/2411830.jpg,92411830,imported_genome,
30111677,train,How many boats are in the water?,1,VG_100K_2/2396756.jpg,images/2396756.jpg,92396756,imported_genome,
19273106,train,How many wine glasses are there?,4,val2014/COCO_val2014_000000062410.jpg,images/COCO_val2014_000000062410.jpg,62410,tdiuc_templates,
10333484,train,How many tvs are visible?,1,train2014/COCO_train2014_000000458134.jpg,images/COCO_train2014_000000458134.jpg,458134,tdiuc_templates,
30117041,train,How many people are there in the photo?,1,VG_100K_2/2388447.jpg,images/2388447.jpg,92388447,imported_genome,
90653275,train,How many people are in performing a trick?,0,val2014/COCO_val2014_000000402528.jpg,images/COCO_val2014_000000402528.jpg,402528,generate,
9240922217325,test,How many orange cones are in the image?,2,VG_100K_2/2409222.jpg,images/2409222.jpg,92409222,amt,False
20048184,train,How many ramps are visible?,0,train2014/COCO_train2014_000000573312.jpg,images/COCO_train2014_000000573312.jpg,573312,imported_vqa,
20042965,train,How many people are sitting down?,3,train2014/COCO_train2014_000000323889.jpg,images/COCO_train2014_000000323889.jpg,323889,imported_vqa,
20007813,train,How many sets of towels on the bed?,2,train2014/COCO_train2014_000000140577.jpg,images/COCO_train2014_000000140577.jpg,140577,imported_vqa,
19136860,train,How many vases are in the photo?,2,val2014/COCO_val2014_000000314112.jpg,images/COCO_val2014_000000314112.jpg,314112,tdiuc_templates,
91284819,train,How many white cats are there in the image?,0,train2014/COCO_train2014_000000082246.jpg,images/COCO_train2014_000000082246.jpg,82246,generate,
19090662,train,How many sheep are in the photo?,2,val2014/COCO_val2014_000000034662.jpg,images/COCO_val2014_000000034662.jpg,34662,tdiuc_templates,
10143716,train,How many people are in the photo?,2,train2014/COCO_train2014_000000289971.jpg,images/COCO_train2014_000000289971.jpg,289971,tdiuc_templates,
10301028,train,How many remotes are in the picture?,1,train2014/COCO_train2014_000000447112.jpg,images/COCO_train2014_000000447112.jpg,447112,tdiuc_templates,
30122720,train,How many umbrellas are in the picture?,2,VG_100K_2/2379534.jpg,images/2379534.jpg,92379534,imported_genome,
30118818,train,How many spoons are shown?,1,VG_100K_2/2385652.jpg,images/2385652.jpg,92385652,imported_genome,
20006558,train,How many soccer balls are in this picture?,4,train2014/COCO_train2014_000000151732.jpg,images/COCO_train2014_000000151732.jpg,151732,imported_vqa,
19077683,train,How many people are in the photo?,2,val2014/COCO_val2014_000000291834.jpg,images/COCO_val2014_000000291834.jpg,291834,tdiuc_templates,
20039801,train,How many lights run across above the windshield?,2,train2014/COCO_train2014_000000091188.jpg,images/COCO_train2014_000000091188.jpg,91188,imported_vqa,
19265935,train,How many giraffes are in the picture?,2,val2014/COCO_val2014_000000502311.jpg,images/COCO_val2014_000000502311.jpg,502311,tdiuc_templates,
19300519,train,How many cars can be seen?,2,val2014/COCO_val2014_000000517973.jpg,images/COCO_val2014_000000517973.jpg,517973,tdiuc_templates,
20020923,train,How many pieces of sliced watermelon do you see?,4,train2014/COCO_train2014_000000358576.jpg,images/COCO_train2014_000000358576.jpg,358576,imported_vqa,
10278620,train,How many people are in the picture?,4,train2014/COCO_train2014_000000184697.jpg,images/COCO_train2014_000000184697.jpg,184697,tdiuc_templates,
91249747,train,How many black horse ?,0,train2014/COCO_train2014_000000335857.jpg,images/COCO_train2014_000000335857.jpg,335857,generate,
30117793,test,How many elephants are there?,3,VG_100K_2/2387281.jpg,images/2387281.jpg,92387281,imported_genome,True
30162760,test,How many wheels are on the bike?,2,VG_100K_2/2413596.jpg,images/2413596.jpg,92413596,imported_genome,True
10016534,train,How many people can you see?,2,train2014/COCO_train2014_000000265453.jpg,images/COCO_train2014_000000265453.jpg,265453,tdiuc_templates,
30117801,train,How many cakes are there?,1,VG_100K_2/2387265.jpg,images/2387265.jpg,92387265,imported_genome,
90457623,train,How many forks are there?,0,train2014/COCO_train2014_000000488828.jpg,images/COCO_train2014_000000488828.jpg,488828,generate,
91417719,train,How many of the dogs are black?,0,train2014/COCO_train2014_000000245271.jpg,images/COCO_train2014_000000245271.jpg,245271,generate,
20043104,train,How many trains are there?,1,train2014/COCO_train2014_000000005554.jpg,images/COCO_train2014_000000005554.jpg,5554,imported_vqa,
20038185,train,How many bikes does the police have?,0,train2014/COCO_train2014_000000489107.jpg,images/COCO_train2014_000000489107.jpg,489107,imported_vqa,
20088311,train,How many air conditioners do you see in this picture?,0,val2014/COCO_val2014_000000101053.jpg,images/COCO_val2014_000000101053.jpg,101053,imported_vqa,
91746967,train,How many bottle caps are in the photo?,0,val2014/COCO_val2014_000000121987.jpg,images/COCO_val2014_000000121987.jpg,121987,generate,
90215435,train,How many train cars are in the image?,0,train2014/COCO_train2014_000000437391.jpg,images/COCO_train2014_000000437391.jpg,437391,generate,
10560266,train,How many donuts are visible?,2,train2014/COCO_train2014_000000506530.jpg,images/COCO_train2014_000000506530.jpg,506530,tdiuc_templates,
10372695,train,How many people are visible?,3,train2014/COCO_train2014_000000204294.jpg,images/COCO_train2014_000000204294.jpg,204294,tdiuc_templates,
20028442,train,How many bears?,1,val2014/COCO_val2014_000000285908.jpg,images/COCO_val2014_000000285908.jpg,285908,imported_vqa,
30103846,test,How many mirrors are on the wall?,3,VG_100K_2/2406228.jpg,images/2406228.jpg,92406228,imported_genome,True
19121303,train,How many carrots can be seen?,3,val2014/COCO_val2014_000000308430.jpg,images/COCO_val2014_000000308430.jpg,308430,tdiuc_templates,
20085239,train,How many men are going bald in this picture?,0,val2014/COCO_val2014_000000231568.jpg,images/COCO_val2014_000000231568.jpg,231568,imported_vqa,
30120714,train,How many people are see in this picture?,7,VG_100K_2/2382749.jpg,images/2382749.jpg,92382749,imported_genome,
10028810,train,How many bottles are visible?,2,train2014/COCO_train2014_000000398924.jpg,images/COCO_train2014_000000398924.jpg,398924,tdiuc_templates,
20026502,train,How many levels of the bus are there?,2,val2014/COCO_val2014_000000468124.jpg,images/COCO_val2014_000000468124.jpg,468124,imported_vqa,
20074607,train,How many sconces?,0,val2014/COCO_val2014_000000533805.jpg,images/COCO_val2014_000000533805.jpg,533805,imported_vqa,
30117081,test,How many dogs are in the picture?,1,VG_100K_2/2388411.jpg,images/2388411.jpg,92388411,imported_genome,True
